Date	Time	Severity	PID	TID	Function	Message
09-06-2025	10:10:24.630	 INFO	 39616	 68376	DllMain	"DLL_PROCESS_ATTACH Sun Apr 27 14:47:17 2025 11.4.2500.28"
09-06-2025	10:10:24.634	 INFO	 39616	 68376	DllMain	"PROCESS ATTACHED"
09-06-2025	10:10:24.635	 INFO	 39616	 12828	LateInitialization	"Intialization..."
09-06-2025	10:10:24.636	 INFO	 39616	 12828	LoadDisplayDevicesName	"DisplayDevices : "
09-06-2025	10:10:24.637	 INFO	 39616	 12828	LoadDisplayDevicesName	"\\.\DISPLAY1"
09-06-2025	10:10:24.639	 INFO	 39616	 12828	LoadDisplayDevicesName	"\\.\DISPLAY2"
09-06-2025	10:10:24.640	 INFO	 39616	 12828	LoadDisplayDevicesName	"\\.\DISPLAY3"
09-06-2025	10:10:27.653	ERROR	 39616	 12828	LateInitialization	"std::exception caught = GetFileVersionInfoSizeW failed with 1813
"
09-06-2025	10:10:27.654	 INFO	 39616	 12828	LateInitialization	"Exe = C:\Users\abhijeet.mandal\AppData\Local\Programs\Git\usr\bin\bash.exe
ProductName = 
FileDescription = 
ShadowFolder = %LOCALAPPDATA%\EndpointDLP\print-shadow
ParsingMode = Hybrid
DeletePrinterShadowFiles = 1
PrinterUseDisplayDevicesList = 0
EnablePrinterEscapeProcessing = 1
EnableWatermarkForAll = 0
MaxPrintPages = 4294967295
GdiPlusToken = 329597203
ExcludedEscapes = 4117, 37, 4118, 4115, 4121, "
09-06-2025	10:10:27.655	 INFO	 39616	 12828	LateInitialization	"Intialization finished"
09-06-2025	10:11:43.731	 INFO	 63464	 66804	DllMain	"DLL_PROCESS_ATTACH Sun Apr 27 14:47:17 2025 11.4.2500.28"
09-06-2025	10:11:43.738	 INFO	 63464	 66804	DllMain	"PROCESS ATTACHED"
09-06-2025	10:11:43.740	 INFO	 63464	 68216	LateInitialization	"Intialization..."
09-06-2025	10:11:43.742	 INFO	 63464	 68216	LoadDisplayDevicesName	"DisplayDevices : "
09-06-2025	10:11:43.746	 INFO	 63464	 68216	LoadDisplayDevicesName	"\\.\DISPLAY1"
09-06-2025	10:11:43.748	 INFO	 63464	 68216	LoadDisplayDevicesName	"\\.\DISPLAY2"
09-06-2025	10:11:43.750	 INFO	 63464	 68216	LoadDisplayDevicesName	"\\.\DISPLAY3"
09-06-2025	10:11:46.770	ERROR	 63464	 68216	LateInitialization	"std::exception caught = GetFileVersionInfoSizeW failed with 1813
"
